2026-05-18T17:48:39.936482800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=76.6 fps_gdx=77 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:41.935936400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.5 fps_gdx=79 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:43.927137300Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=60.3 fps_gdx=71 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:45.976476200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=22.0 fps_gdx=18 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:48.005840400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=33.0 fps_gdx=34 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:49.996588100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=35.2 fps_gdx=36 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:52.009602500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=32.8 fps_gdx=32 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:53.973788300Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.1 fps_gdx=35 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:55.987636600Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=34.3 fps_gdx=31 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:58.004969100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=36.2 fps_gdx=34 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:48:59.979462700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=55.7 fps_gdx=62 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:49:01.975985100Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=75.1 fps_gdx=78 depth=1 branch=0 mobs_alive=8 mobs_in_fov=0 load=normal
2026-05-18T17:49:03.993812200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.5 fps_gdx=77 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:05.977267500Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=74.4 fps_gdx=73 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:07.981699800Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=78.3 fps_gdx=79 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:09.998863700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=75.9 fps_gdx=80 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:11.991011400Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=77.8 fps_gdx=81 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:13.982348700Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=75.3 fps_gdx=77 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
2026-05-18T17:49:15.980127200Z | INFO | PerformanceSampler | PERF_SAMPLE | fps_avg=74.1 fps_gdx=72 depth=1 branch=0 mobs_alive=8 mobs_in_fov=1 load=normal
